variable_name,value_type
184115_dose,Numeric
184115_route,Categorical
184117_dose,Numeric
184117_route,Categorical
184120_dose,Numeric
184120_route,Categorical
184126_dose,Numeric
184126_route,Categorical
184127_dose,Numeric
184127_route,Categorical
184131_dose,Numeric
184131_route,Categorical
184135_dose,Numeric
184135_route,Categorical
184141_dose,Numeric
184141_route,Categorical
184155_dose,Numeric
184155_route,Categorical
184158_dose,Numeric
184158_route,Categorical
184183_dose,Numeric
184183_route,Categorical
184186_dose,Numeric
184186_route,Categorical
184187_dose,Numeric
184187_route,Categorical
184198_dose,Numeric
184198_route,Categorical
184200_dose,Numeric
184200_route,Categorical
184205_dose,Numeric
184205_route,Categorical
184209_dose,Numeric
184209_route,Categorical
184211_dose,Numeric
184211_route,Categorical
184218_dose,Numeric
184218_route,Categorical
184220_dose,Numeric
184220_route,Categorical
184235_dose,Numeric
184235_route,Categorical
184237_dose,Numeric
184237_route,Categorical
184246_dose,Numeric
184246_route,Categorical
184249_dose,Numeric
184249_route,Categorical
184266_dose,Numeric
184266_route,Categorical
184276_dose,Numeric
184276_route,Categorical
184281_dose,Numeric
184281_route,Categorical
184290_dose,Numeric
184290_route,Categorical
184301_dose,Numeric
184301_route,Categorical
184308_dose,Numeric
184308_route,Categorical
184310_dose,Numeric
184310_route,Categorical
184313_dose,Numeric
184313_route,Categorical
184317_dose,Numeric
184317_route,Categorical
184324_dose,Numeric
184324_route,Categorical
184335_dose,Numeric
184335_route,Categorical
184339_dose,Numeric
184339_route,Categorical
184348_dose,Numeric
184348_route,Categorical
184353_dose,Numeric
184353_route,Categorical
184354_dose,Numeric
184354_route,Categorical
184369_dose,Numeric
184369_route,Categorical
184379_dose,Numeric
184379_route,Categorical
184380_dose,Numeric
184380_route,Categorical
184389_dose,Numeric
184389_route,Categorical
184390_dose,Numeric
184390_route,Categorical
184429_dose,Numeric
184429_route,Categorical
184436_dose,Numeric
184436_route,Categorical
184454_dose,Numeric
184454_route,Categorical
184462_dose,Numeric
184462_route,Categorical
184473_dose,Numeric
184473_route,Categorical
184490_dose,Numeric
184490_route,Categorical
184505_dose,Numeric
184505_route,Categorical
184514_dose,Numeric
184514_route,Categorical
184532_dose,Numeric
184532_route,Categorical
184548_dose,Numeric
184548_route,Categorical
184549_dose,Numeric
184549_route,Categorical
184579_dose,Numeric
184579_route,Categorical
184587_dose,Numeric
184587_route,Categorical
184588_dose,Numeric
184588_route,Categorical
184596_dose,Numeric
184596_route,Categorical
184599_dose,Numeric
184599_route,Categorical
184625_dose,Numeric
184625_route,Categorical
184627_dose,Numeric
184627_route,Categorical
184629_dose,Numeric
184629_route,Categorical
184632_dose,Numeric
184632_route,Categorical
184641_dose,Numeric
184641_route,Categorical
184649_dose,Numeric
184649_route,Categorical
190835_dose,Numeric
190835_route,Categorical
190836_dose,Numeric
190836_route,Categorical
190857_dose,Numeric
190857_route,Categorical
190862_dose,Numeric
190862_route,Categorical
190864_dose,Numeric
190864_route,Categorical
190869_dose,Numeric
190869_route,Categorical
190870_dose,Numeric
190870_route,Categorical
190878_dose,Numeric
190878_route,Categorical
190890_dose,Numeric
190890_route,Categorical
190895_dose,Numeric
190895_route,Categorical
190899_dose,Numeric
190899_route,Categorical
190905_dose,Numeric
190905_route,Categorical
190906_dose,Numeric
190906_route,Categorical
190912_dose,Numeric
190912_route,Categorical
190916_dose,Numeric
190916_route,Categorical
190920_dose,Numeric
190920_route,Categorical
190944_dose,Numeric
190944_route,Categorical
190948_dose,Numeric
190948_route,Categorical
190949_dose,Numeric
190949_route,Categorical
190961_dose,Numeric
190961_route,Categorical
190967_dose,Numeric
190967_route,Categorical
190983_dose,Numeric
190983_route,Categorical
190987_dose,Numeric
190987_route,Categorical
190991_dose,Numeric
190991_route,Categorical
190995_dose,Numeric
190995_route,Categorical
191003_dose,Numeric
191003_route,Categorical
191004_dose,Numeric
191004_route,Categorical
191016_dose,Numeric
191016_route,Categorical
191017_dose,Numeric
191017_route,Categorical
191030_dose,Numeric
191030_route,Categorical
191040_dose,Numeric
191040_route,Categorical
191044_dose,Numeric
191044_route,Categorical
191060_dose,Numeric
191060_route,Categorical
